Question ID,Response,Knowledge Component,Difficulty,Answer,Student ID,Status,literal_number_correct,literal_number_incorrect,inferential_number_correct,inferential_number_incorrect,critical_number_correct,critical_number_incorrect
0,C,literal,0,D,0,0,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,0,0,0,1,0,0,0,0
2,D,inferential,0.4901752136,B,0,0,0,2,0,1,0,0
3,B,inferential,0.3040887644,C,0,0,0,3,0,2,0,0
4,B,inferential,0.3160402773,A,0,0,0,4,0,3,0,0
5,A,inferential,0.4830983286,A,0,1,1,4,1,3,0,0
6,A,literal,0.1370567028,B,0,0,1,5,1,4,0,0
7,C,critical,0.4742685156,D,0,0,1,6,0,0,0,0
8,A,inferential,0.5231932545,B,0,0,1,7,0,1,0,1
9,D,literal,0.06470921989,A,0,0,1,8,0,2,0,0
10,B,literal,0.06470921989,C,0,0,1,9,0,0,0,0
11,D,critical,0.6044730745,C,0,0,1,10,0,0,0,0
12,C,inferential,0.5759683477,D,0,0,1,11,0,1,0,1
13,A,literal,0.6585900523,A,0,1,2,11,1,1,0,0
14,B,literal,0.6585900523,B,0,1,3,11,0,0,0,0
15,A,critical,1,B,0,0,3,12,0,0,0,0
16,C,critical,0.5400272658,C,0,1,4,12,1,0,1,0
17,B,critical,0.5153247851,C,0,0,4,13,1,1,1,1
18,D,critical,0.662024699,B,0,0,4,14,1,2,1,2
19,A,inferential,0.7254680353,D,0,0,4,15,1,3,1,3
0,C,literal,0,D,1,0,0,0,0,0,0,0
1,A,inferential,0.2796508158,B,1,0,0,1,0,0,0,0
2,D,inferential,0.4901752136,B,1,0,0,2,0,1,0,0
3,A,inferential,0.3040887644,C,1,0,0,3,0,2,0,0
4,B,inferential,0.3160402773,A,1,0,0,4,0,3,0,0
5,D,inferential,0.4830983286,A,1,0,0,5,0,4,0,0
6,C,literal,0.1370567028,B,1,0,0,6,0,5,0,0
7,A,critical,0.4742685156,D,1,0,0,7,0,0,0,0
8,C,inferential,0.5231932545,B,1,0,0,8,0,1,0,1
9,B,literal,0.06470921989,A,1,0,0,9,0,2,0,0
10,D,literal,0.06470921989,C,1,0,0,10,0,0,0,0
11,A,critical,0.6044730745,C,1,0,0,11,0,0,0,0
12,A,inferential,0.5759683477,D,1,0,0,12,0,1,0,1
13,C,literal,0.6585900523,A,1,0,0,13,0,2,0,0
14,D,literal,0.6585900523,B,1,0,0,14,0,0,0,0
15,B,critical,1,B,1,1,1,14,0,0,0,0
16,C,critical,0.5400272658,C,1,1,2,14,1,0,1,0
17,A,critical,0.5153247851,C,1,0,2,15,1,1,1,1
18,D,critical,0.662024699,B,1,0,2,16,1,2,1,2
19,C,inferential,0.7254680353,D,1,0,2,17,1,3,1,3
0,D,literal,0,D,2,1,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,2,0,0,1,0,0,0,0
2,B,inferential,0.4901752136,B,2,1,1,1,1,0,0,0
3,A,inferential,0.3040887644,C,2,0,1,2,1,1,0,0
4,A,inferential,0.3160402773,A,2,1,2,2,2,1,0,0
5,D,inferential,0.4830983286,A,2,0,2,3,2,2,0,0
6,C,literal,0.1370567028,B,2,0,2,4,2,3,0,0
7,D,critical,0.4742685156,D,2,1,3,4,0,0,0,0
8,A,inferential,0.5231932545,B,2,0,3,5,0,1,0,1
9,C,literal,0.06470921989,A,2,0,3,6,0,2,0,0
10,A,literal,0.06470921989,C,2,0,3,7,0,0,0,0
11,A,critical,0.6044730745,C,2,0,3,8,0,0,0,0
12,C,inferential,0.5759683477,D,2,0,3,9,0,1,0,1
13,D,literal,0.6585900523,A,2,0,3,10,0,2,0,0
14,A,literal,0.6585900523,B,2,0,3,11,0,0,0,0
15,A,critical,1,B,2,0,3,12,0,0,0,0
16,C,critical,0.5400272658,C,2,1,4,12,1,0,1,0
17,A,critical,0.5153247851,C,2,0,4,13,1,1,1,1
18,B,critical,0.662024699,B,2,1,5,13,2,1,2,1
19,D,inferential,0.7254680353,D,2,1,6,13,3,1,3,1
0,B,literal,0,D,3,0,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,3,1,1,0,0,0,0,0
2,D,inferential,0.4901752136,B,3,0,1,1,0,1,0,0
3,A,inferential,0.3040887644,C,3,0,1,2,0,2,0,0
4,B,inferential,0.3160402773,A,3,0,1,3,0,3,0,0
5,B,inferential,0.4830983286,A,3,0,1,4,0,4,0,0
6,B,literal,0.1370567028,B,3,1,2,4,1,4,0,0
7,B,critical,0.4742685156,D,3,0,2,5,0,0,0,0
8,C,inferential,0.5231932545,B,3,0,2,6,0,1,0,1
9,A,literal,0.06470921989,A,3,1,3,6,1,1,0,0
10,A,literal,0.06470921989,C,3,0,3,7,0,0,0,0
11,C,critical,0.6044730745,C,3,1,4,7,0,0,0,0
12,C,inferential,0.5759683477,D,3,0,4,8,0,1,0,1
13,A,literal,0.6585900523,A,3,1,5,8,1,1,0,0
14,B,literal,0.6585900523,B,3,1,6,8,0,0,0,0
15,A,critical,1,B,3,0,6,9,0,0,0,0
16,D,critical,0.5400272658,C,3,0,6,10,0,1,0,1
17,B,critical,0.5153247851,C,3,0,6,11,0,2,0,2
18,A,critical,0.662024699,B,3,0,6,12,0,3,0,3
19,B,inferential,0.7254680353,D,3,0,6,13,0,4,0,4
0,A,literal,0,D,4,0,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,4,1,1,0,0,0,0,0
2,B,inferential,0.4901752136,B,4,1,2,0,1,0,0,0
3,C,inferential,0.3040887644,C,4,1,3,0,2,0,0,0
4,A,inferential,0.3160402773,A,4,1,4,0,3,0,0,0
5,A,inferential,0.4830983286,A,4,1,5,0,4,0,0,0
6,B,literal,0.1370567028,B,4,1,6,0,5,0,0,0
7,A,critical,0.4742685156,D,4,0,6,1,0,0,0,0
8,A,inferential,0.5231932545,B,4,0,6,2,0,1,0,1
9,C,literal,0.06470921989,A,4,0,6,3,0,2,0,0
10,D,literal,0.06470921989,C,4,0,6,4,0,0,0,0
11,A,critical,0.6044730745,C,4,0,6,5,0,0,0,0
12,A,inferential,0.5759683477,D,4,0,6,6,0,1,0,1
13,A,literal,0.6585900523,A,4,1,7,6,1,1,0,0
14,A,literal,0.6585900523,B,4,0,7,7,0,0,0,0
15,A,critical,1,B,4,0,7,8,0,0,0,0
16,B,critical,0.5400272658,C,4,0,7,9,0,1,0,1
17,A,critical,0.5153247851,C,4,0,7,10,0,2,0,2
18,B,critical,0.662024699,B,4,1,8,10,1,2,1,2
19,C,inferential,0.7254680353,D,4,0,8,11,1,3,1,3
0,C,literal,0,D,5,0,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,5,0,0,1,0,0,0,0
2,D,inferential,0.4901752136,B,5,0,0,2,0,1,0,0
3,A,inferential,0.3040887644,C,5,0,0,3,0,2,0,0
4,C,inferential,0.3160402773,A,5,0,0,4,0,3,0,0
5,B,inferential,0.4830983286,A,5,0,0,5,0,4,0,0
6,B,literal,0.1370567028,B,5,1,1,5,1,4,0,0
7,D,critical,0.4742685156,D,5,1,2,5,0,0,0,0
8,B,inferential,0.5231932545,B,5,1,3,5,1,0,1,0
9,C,literal,0.06470921989,A,5,0,3,6,1,1,0,0
10,D,literal,0.06470921989,C,5,0,3,7,0,0,0,0
11,D,critical,0.6044730745,C,5,0,3,8,0,0,0,0
12,B,inferential,0.5759683477,D,5,0,3,9,0,1,0,1
13,C,literal,0.6585900523,A,5,0,3,10,0,2,0,0
14,B,literal,0.6585900523,B,5,1,4,10,0,0,0,0
15,A,critical,1,B,5,0,4,11,0,0,0,0
16,D,critical,0.5400272658,C,5,0,4,12,0,1,0,1
17,B,critical,0.5153247851,C,5,0,4,13,0,2,0,2
18,C,critical,0.662024699,B,5,0,4,14,0,3,0,3
19,D,inferential,0.7254680353,D,5,1,5,14,1,3,1,3
0,D,literal,0,D,6,1,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,6,0,0,1,0,0,0,0
2,B,inferential,0.4901752136,B,6,1,1,1,1,0,0,0
3,A,inferential,0.3040887644,C,6,0,1,2,1,1,0,0
4,C,inferential,0.3160402773,A,6,0,1,3,1,2,0,0
5,D,inferential,0.4830983286,A,6,0,1,4,1,3,0,0
6,A,literal,0.1370567028,B,6,0,1,5,1,4,0,0
7,D,critical,0.4742685156,D,6,1,2,5,0,0,0,0
8,A,inferential,0.5231932545,B,6,0,2,6,0,1,0,1
9,B,literal,0.06470921989,A,6,0,2,7,0,2,0,0
10,A,literal,0.06470921989,C,6,0,2,8,0,0,0,0
11,A,critical,0.6044730745,C,6,0,2,9,0,0,0,0
12,C,inferential,0.5759683477,D,6,0,2,10,0,1,0,1
13,C,literal,0.6585900523,A,6,0,2,11,0,2,0,0
14,B,literal,0.6585900523,B,6,1,3,11,0,0,0,0
15,B,critical,1,B,6,1,4,11,0,0,0,0
16,D,critical,0.5400272658,C,6,0,4,12,0,1,0,1
17,C,critical,0.5153247851,C,6,1,5,12,1,1,1,1
18,C,critical,0.662024699,B,6,0,5,13,1,2,1,2
19,A,inferential,0.7254680353,D,6,0,5,14,1,3,1,3
0,D,literal,0,D,7,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,7,1,1,0,0,0,0,0
2,C,inferential,0.4901752136,B,7,0,1,1,0,1,0,0
3,A,inferential,0.3040887644,C,7,0,1,2,0,2,0,0
4,A,inferential,0.3160402773,A,7,1,2,2,1,2,0,0
5,A,inferential,0.4830983286,A,7,1,3,2,2,2,0,0
6,B,literal,0.1370567028,B,7,1,4,2,3,2,0,0
7,B,critical,0.4742685156,D,7,0,4,3,0,0,0,0
8,C,inferential,0.5231932545,B,7,0,4,4,0,1,0,1
9,B,literal,0.06470921989,A,7,0,4,5,0,2,0,0
10,A,literal,0.06470921989,C,7,0,4,6,0,0,0,0
11,C,critical,0.6044730745,C,7,1,5,6,0,0,0,0
12,C,inferential,0.5759683477,D,7,0,5,7,0,1,0,1
13,D,literal,0.6585900523,A,7,0,5,8,0,2,0,0
14,A,literal,0.6585900523,B,7,0,5,9,0,0,0,0
15,D,critical,1,B,7,0,5,10,0,0,0,0
16,D,critical,0.5400272658,C,7,0,5,11,0,1,0,1
17,A,critical,0.5153247851,C,7,0,5,12,0,2,0,2
18,D,critical,0.662024699,B,7,0,5,13,0,3,0,3
19,C,inferential,0.7254680353,D,7,0,5,14,0,4,0,4
0,D,literal,0,D,8,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,8,1,1,0,0,0,0,0
2,B,inferential,0.4901752136,B,8,1,2,0,1,0,0,0
3,A,inferential,0.3040887644,C,8,0,2,1,1,1,0,0
4,A,inferential,0.3160402773,A,8,1,3,1,2,1,0,0
5,A,inferential,0.4830983286,A,8,1,4,1,3,1,0,0
6,B,literal,0.1370567028,B,8,1,5,1,4,1,0,0
7,D,critical,0.4742685156,D,8,1,6,1,0,0,0,0
8,C,inferential,0.5231932545,B,8,0,6,2,0,1,0,1
9,B,literal,0.06470921989,A,8,0,6,3,0,2,0,0
10,A,literal,0.06470921989,C,8,0,6,4,0,0,0,0
11,B,critical,0.6044730745,C,8,0,6,5,0,0,0,0
12,C,inferential,0.5759683477,D,8,0,6,6,0,1,0,1
13,B,literal,0.6585900523,A,8,0,6,7,0,2,0,0
14,B,literal,0.6585900523,B,8,1,7,7,0,0,0,0
15,B,critical,1,B,8,1,8,7,0,0,0,0
16,D,critical,0.5400272658,C,8,0,8,8,0,1,0,1
17,C,critical,0.5153247851,C,8,1,9,8,1,1,1,1
18,C,critical,0.662024699,B,8,0,9,9,1,2,1,2
19,D,inferential,0.7254680353,D,8,1,10,9,2,2,2,2
0,D,literal,0,D,9,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,9,1,1,0,0,0,0,0
2,C,inferential,0.4901752136,B,9,0,1,1,0,1,0,0
3,B,inferential,0.3040887644,C,9,0,1,2,0,2,0,0
4,A,inferential,0.3160402773,A,9,1,2,2,1,2,0,0
5,A,inferential,0.4830983286,A,9,1,3,2,2,2,0,0
6,B,literal,0.1370567028,B,9,1,4,2,3,2,0,0
7,B,critical,0.4742685156,D,9,0,4,3,0,0,0,0
8,D,inferential,0.5231932545,B,9,0,4,4,0,1,0,1
9,C,literal,0.06470921989,A,9,0,4,5,0,2,0,0
10,A,literal,0.06470921989,C,9,0,4,6,0,0,0,0
11,A,critical,0.6044730745,C,9,0,4,7,0,0,0,0
12,A,inferential,0.5759683477,D,9,0,4,8,0,1,0,1
13,B,literal,0.6585900523,A,9,0,4,9,0,2,0,0
14,B,literal,0.6585900523,B,9,1,5,9,0,0,0,0
15,C,critical,1,B,9,0,5,10,0,0,0,0
16,D,critical,0.5400272658,C,9,0,5,11,0,1,0,1
17,B,critical,0.5153247851,C,9,0,5,12,0,2,0,2
18,D,critical,0.662024699,B,9,0,5,13,0,3,0,3
19,D,inferential,0.7254680353,D,9,1,6,13,1,3,1,3
0,D,literal,0,D,10,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,10,1,1,0,0,0,0,0
2,C,inferential,0.4901752136,B,10,0,1,1,0,1,0,0
3,A,inferential,0.3040887644,C,10,0,1,2,0,2,0,0
4,C,inferential,0.3160402773,A,10,0,1,3,0,3,0,0
5,A,inferential,0.4830983286,A,10,1,2,3,1,3,0,0
6,B,literal,0.1370567028,B,10,1,3,3,2,3,0,0
7,D,critical,0.4742685156,D,10,1,4,3,0,0,0,0
8,C,inferential,0.5231932545,B,10,0,4,4,0,1,0,1
9,C,literal,0.06470921989,A,10,0,4,5,0,2,0,0
10,A,literal,0.06470921989,C,10,0,4,6,0,0,0,0
11,A,critical,0.6044730745,C,10,0,4,7,0,0,0,0
12,A,inferential,0.5759683477,D,10,0,4,8,0,1,0,1
13,A,literal,0.6585900523,A,10,1,5,8,1,1,0,0
14,C,literal,0.6585900523,B,10,0,5,9,0,0,0,0
15,A,critical,1,B,10,0,5,10,0,0,0,0
16,B,critical,0.5400272658,C,10,0,5,11,0,1,0,1
17,D,critical,0.5153247851,C,10,0,5,12,0,2,0,2
18,D,critical,0.662024699,B,10,0,5,13,0,3,0,3
19,C,inferential,0.7254680353,D,10,0,5,14,0,4,0,4
0,D,literal,0,D,11,1,0,0,0,0,0,0
1,C,inferential,0.2796508158,B,11,0,0,1,0,0,0,0
2,B,inferential,0.4901752136,B,11,1,1,1,1,0,0,0
3,A,inferential,0.3040887644,C,11,0,1,2,1,1,0,0
4,C,inferential,0.3160402773,A,11,0,1,3,1,2,0,0
5,A,inferential,0.4830983286,A,11,1,2,3,2,2,0,0
6,B,literal,0.1370567028,B,11,1,3,3,3,2,0,0
7,B,critical,0.4742685156,D,11,0,3,4,0,0,0,0
8,B,inferential,0.5231932545,B,11,1,4,4,1,0,1,0
9,C,literal,0.06470921989,A,11,0,4,5,1,1,0,0
10,C,literal,0.06470921989,C,11,1,5,5,0,0,0,0
11,B,critical,0.6044730745,C,11,0,5,6,0,0,0,0
12,A,inferential,0.5759683477,D,11,0,5,7,0,1,0,1
13,C,literal,0.6585900523,A,11,0,5,8,0,2,0,0
14,D,literal,0.6585900523,B,11,0,5,9,0,0,0,0
15,D,critical,1,B,11,0,5,10,0,0,0,0
16,B,critical,0.5400272658,C,11,0,5,11,0,1,0,1
17,B,critical,0.5153247851,C,11,0,5,12,0,2,0,2
18,C,critical,0.662024699,B,11,0,5,13,0,3,0,3
19,A,inferential,0.7254680353,D,11,0,5,14,0,4,0,4
0,C,literal,0,D,12,0,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,12,1,1,0,0,0,0,0
2,D,inferential,0.4901752136,B,12,0,1,1,0,1,0,0
3,C,inferential,0.3040887644,C,12,1,2,1,1,1,0,0
4,A,inferential,0.3160402773,A,12,1,3,1,2,1,0,0
5,B,inferential,0.4830983286,A,12,0,3,2,2,2,0,0
6,A,literal,0.1370567028,B,12,0,3,3,2,3,0,0
7,B,critical,0.4742685156,D,12,0,3,4,0,0,0,0
8,B,inferential,0.5231932545,B,12,1,4,4,1,0,1,0
9,A,literal,0.06470921989,A,12,1,5,4,2,0,0,0
10,B,literal,0.06470921989,C,12,0,5,5,0,0,0,0
11,A,critical,0.6044730745,C,12,0,5,6,0,0,0,0
12,D,inferential,0.5759683477,D,12,1,6,6,1,0,1,0
13,B,literal,0.6585900523,A,12,0,6,7,1,1,0,0
14,A,literal,0.6585900523,B,12,0,6,8,0,0,0,0
15,C,critical,1,B,12,0,6,9,0,0,0,0
16,D,critical,0.5400272658,C,12,0,6,10,0,1,0,1
17,B,critical,0.5153247851,C,12,0,6,11,0,2,0,2
18,A,critical,0.662024699,B,12,0,6,12,0,3,0,3
19,B,inferential,0.7254680353,D,12,0,6,13,0,4,0,4
0,D,literal,0,D,13,1,0,0,0,0,0,0
1,A,inferential,0.2796508158,B,13,0,0,1,0,0,0,0
2,B,inferential,0.4901752136,B,13,1,1,1,1,0,0,0
3,D,inferential,0.3040887644,C,13,0,1,2,1,1,0,0
4,A,inferential,0.3160402773,A,13,1,2,2,2,1,0,0
5,A,inferential,0.4830983286,A,13,1,3,2,3,1,0,0
6,B,literal,0.1370567028,B,13,1,4,2,4,1,0,0
7,B,critical,0.4742685156,D,13,0,4,3,0,0,0,0
8,B,inferential,0.5231932545,B,13,1,5,3,1,0,1,0
9,C,literal,0.06470921989,A,13,0,5,4,1,1,0,0
10,A,literal,0.06470921989,C,13,0,5,5,0,0,0,0
11,C,critical,0.6044730745,C,13,1,6,5,0,0,0,0
12,D,inferential,0.5759683477,D,13,1,7,5,1,0,1,0
13,B,literal,0.6585900523,A,13,0,7,6,1,1,0,0
14,B,literal,0.6585900523,B,13,1,8,6,0,0,0,0
15,B,critical,1,B,13,1,9,6,0,0,0,0
16,D,critical,0.5400272658,C,13,0,9,7,0,1,0,1
17,B,critical,0.5153247851,C,13,0,9,8,0,2,0,2
18,A,critical,0.662024699,B,13,0,9,9,0,3,0,3
19,A,inferential,0.7254680353,D,13,0,9,10,0,4,0,4
0,C,literal,0,D,14,0,0,0,0,0,0,0
1,D,inferential,0.2796508158,B,14,0,0,1,0,0,0,0
2,C,inferential,0.4901752136,B,14,0,0,2,0,1,0,0
3,C,inferential,0.3040887644,C,14,1,1,2,1,1,0,0
4,A,inferential,0.3160402773,A,14,1,2,2,2,1,0,0
5,B,inferential,0.4830983286,A,14,0,2,3,2,2,0,0
6,C,literal,0.1370567028,B,14,0,2,4,2,3,0,0
7,B,critical,0.4742685156,D,14,0,2,5,0,0,0,0
8,A,inferential,0.5231932545,B,14,0,2,6,0,1,0,1
9,C,literal,0.06470921989,A,14,0,2,7,0,2,0,0
10,C,literal,0.06470921989,C,14,1,3,7,0,0,0,0
11,A,critical,0.6044730745,C,14,0,3,8,0,0,0,0
12,A,inferential,0.5759683477,D,14,0,3,9,0,1,0,1
13,B,literal,0.6585900523,A,14,0,3,10,0,2,0,0
14,B,literal,0.6585900523,B,14,1,4,10,0,0,0,0
15,C,critical,1,B,14,0,4,11,0,0,0,0
16,D,critical,0.5400272658,C,14,0,4,12,0,1,0,1
17,B,critical,0.5153247851,C,14,0,4,13,0,2,0,2
18,D,critical,0.662024699,B,14,0,4,14,0,3,0,3
19,D,inferential,0.7254680353,D,14,1,5,14,1,3,1,3
0,D,literal,0,D,15,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,15,1,1,0,0,0,0,0
2,B,inferential,0.4901752136,B,15,1,2,0,1,0,0,0
3,A,inferential,0.3040887644,C,15,0,2,1,1,1,0,0
4,C,inferential,0.3160402773,A,15,0,2,2,1,2,0,0
5,B,inferential,0.4830983286,A,15,0,2,3,1,3,0,0
6,B,literal,0.1370567028,B,15,1,3,3,2,3,0,0
7,B,critical,0.4742685156,D,15,0,3,4,0,0,0,0
8,A,inferential,0.5231932545,B,15,0,3,5,0,1,0,1
9,A,literal,0.06470921989,A,15,1,4,5,1,1,0,0
10,D,literal,0.06470921989,C,15,0,4,6,0,0,0,0
11,C,critical,0.6044730745,C,15,1,5,6,0,0,0,0
12,D,inferential,0.5759683477,D,15,1,6,6,1,0,1,0
13,A,literal,0.6585900523,A,15,1,7,6,2,0,0,0
14,B,literal,0.6585900523,B,15,1,8,6,0,0,0,0
15,A,critical,1,B,15,0,8,7,0,0,0,0
16,D,critical,0.5400272658,C,15,0,8,8,0,1,0,1
17,A,critical,0.5153247851,C,15,0,8,9,0,2,0,2
18,D,critical,0.662024699,B,15,0,8,10,0,3,0,3
19,D,inferential,0.7254680353,D,15,1,9,10,1,3,1,3
0,D,literal,0,D,16,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,16,1,1,0,0,0,0,0
2,D,inferential,0.4901752136,B,16,0,1,1,0,1,0,0
3,C,inferential,0.3040887644,C,16,1,2,1,1,1,0,0
4,A,inferential,0.3160402773,A,16,1,3,1,2,1,0,0
5,B,inferential,0.4830983286,A,16,0,3,2,2,2,0,0
6,B,literal,0.1370567028,B,16,1,4,2,3,2,0,0
7,B,critical,0.4742685156,D,16,0,4,3,0,0,0,0
8,A,inferential,0.5231932545,B,16,0,4,4,0,1,0,1
9,B,literal,0.06470921989,A,16,0,4,5,0,2,0,0
10,A,literal,0.06470921989,C,16,0,4,6,0,0,0,0
11,A,critical,0.6044730745,C,16,0,4,7,0,0,0,0
12,A,inferential,0.5759683477,D,16,0,4,8,0,1,0,1
13,A,literal,0.6585900523,A,16,1,5,8,1,1,0,0
14,A,literal,0.6585900523,B,16,0,5,9,0,0,0,0
15,B,critical,1,B,16,1,6,9,0,0,0,0
16,D,critical,0.5400272658,C,16,0,6,10,0,1,0,1
17,B,critical,0.5153247851,C,16,0,6,11,0,2,0,2
18,D,critical,0.662024699,B,16,0,6,12,0,3,0,3
19,D,inferential,0.7254680353,D,16,1,7,12,1,3,1,3
0,D,literal,0,D,17,1,0,0,0,0,0,0
1,B,inferential,0.2796508158,B,17,1,1,0,0,0,0,0
2,B,inferential,0.4901752136,B,17,1,2,0,1,0,0,0
3,C,inferential,0.3040887644,C,17,1,3,0,2,0,0,0
4,A,inferential,0.3160402773,A,17,1,4,0,3,0,0,0
5,B,inferential,0.4830983286,A,17,0,4,1,3,1,0,0
6,B,literal,0.1370567028,B,17,1,5,1,4,1,0,0
7,A,critical,0.4742685156,D,17,0,5,2,0,0,0,0
8,C,inferential,0.5231932545,B,17,0,5,3,0,1,0,1
